name,slottime_GMT,slottype,slotavg,pointTitle,Date,Chilled Water (tons),Hot Water (kBTU/hr),Electric (kW),Solar (kW)
HuShihHall.Elec.PowerScout3HD/kW,2024-01-15 00:00:00,D,37.095003125,Electric,2024-02-25,2.018197083,54.389269791,23.109307812,50.178238020
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-15 00:00:00,D,18.385682812,Electric Solar submeter,2024-02-26,5.069006354,34.766909687,16.425882708,48.838167916
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-16 00:00:00,D,3.697258437,Chilled Water,2024-02-27,5.751838541,29.381400416,29.406249583,37.097751875
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-16 00:00:00,D,58.592911041,Hot Water Building Heat,2024-02-28,5.673412083,26.898646250,58.466966875,9.018221666
HuShihHall.Elec.PowerScout3HD/kW,2024-01-16 00:00:00,D,50.033792500,Electric,2024-02-29,4.060967083,54.136986250,35.235315833,40.180736979
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-16 00:00:00,D,0.670123125,Electric Solar submeter,2024-03-01,4.843654895,48.382884062,18.260689583,54.314434583
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-17 00:00:00,D,2.432376145,Chilled Water,2024-03-02,5.056128958,40.389031562,63.028659375,9.609492916
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-17 00:00:00,D,60.918950312,Hot Water Building Heat,2024-03-03,5.427022604,33.365171562,54.906775000,20.803937604
HuShihHall.Elec.PowerScout3HD/kW,2024-01-17 00:00:00,D,46.051487083,Electric,2024-03-04,7.784661145,27.582150625,19.564492916,53.770656354
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-17 00:00:00,D,2.212967500,Electric Solar submeter,2024-03-05,5.817541979,26.515529270,48.897380312,19.982171666
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-18 00:00:00,D,3.747752604,Chilled Water,2024-03-06,6.588941354,27.307325729,60.421867395,11.262234062
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-18 00:00:00,D,61.054737083,Hot Water Building Heat,2024-03-07,5.020931145,41.240062708,52.143863020,15.608586666
HuShihHall.Elec.PowerScout3HD/kW,2024-01-18 00:00:00,D,56.145731041,Electric,2024-03-08,5.686504583,37.190114375,15.666909895,57.086016041
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-18 00:00:00,D,1.374280937,Electric Solar submeter,2024-03-09,4.875501041,38.438747708,65.074949583,9.625514479
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-19 00:00:00,D,3.582941250,Chilled Water,2024-03-10,4.710729375,45.083911770,66.960351354,13.450253958
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-19 00:00:00,D,60.636040833,Hot Water Building Heat,2024-03-11,4.355193541,50.384065625,16.654528437,58.625858645
HuShihHall.Elec.PowerScout3HD/kW,2024-01-19 00:00:00,D,61.788218437,Electric,2024-03-12,5.690087083,34.483927395,13.484015833,58.057914166
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-19 00:00:00,D,0.802645937,Electric Solar submeter,2024-03-13,6.904711979,26.352423437,28.978847708,45.073303750
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-20 00:00:00,D,0.448721458,Chilled Water,2024-03-14,8.228062708,27.173686770,24.950958333,46.170868541
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-20 00:00:00,D,69.599694270,Hot Water Building Heat,2024-03-15,5.908877916,31.635331875,64.279467812,8.553636979
HuShihHall.Elec.PowerScout3HD/kW,2024-01-20 00:00:00,D,62.573230625,Electric,2024-03-16,6.541823437,32.939123541,20.249593645,54.142225937
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-20 00:00:00,D,0.664690729,Electric Solar submeter,2024-03-17,5.804583645,32.755628958,57.117794895,19.234300208
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-21 00:00:00,D,1.133192187,Chilled Water,2024-03-18,4.438444895,45.003240937,63.561130104,16.401639062
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-21 00:00:00,D,65.645673854,Hot Water Building Heat,2024-03-19,4.204440625,49.065840104,51.893538020,29.337165208
HuShihHall.Elec.PowerScout3HD/kW,2024-01-21 00:00:00,D,66.828147500,Electric,2024-03-20,4.443476562,47.509255208,63.017098645,11.420952291
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-21 00:00:00,D,5.153933333,Electric Solar submeter,2024-03-21,3.610263541,56.766914895,64.884253750,7.266118541
HuShihHall.B0061.FleximF721/CW.Tons,2024-01-22 00:00:00,D,2.831283437,Chilled Water,2024-03-22,3.657677083,55.610685104,62.746591770,13.819563854
HuShihHall.B0061.FleximF721/HW.kBTUperHour,2024-01-22 00:00:00,D,59.928579166,Hot Water Building Heat,2024-03-23,3.776288333,55.178425000,77.581760000,0.322122291
HuShihHall.Elec.PowerScout3HD/kW,2024-01-22 00:00:00,D,69.220456666,Electric,2024-03-24,4.406253750,51.244458333,70.936475312,6.206831770
HuShihHall.Elec.Solar.PowerScout3HD/kW,2024-01-22 00:00:00,D,5.934978854,Electric Solar submeter,2024-03-25,5.016217395,42.858516458,25.528213125,49.457693958
