name,slottime_GMT,slottype,slotavg,pointTitle,Date,Electric (kW),Steam (lbs/hr)
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-01 00:00:00,D,38.266634895,Steam,2024-03-03,65.247916666,8.554117291
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-02 00:00:00,D,69.050000000,,2024-03-04,64.480208333,11.613172291
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-02 00:00:00,D,37.077998020,Steam,2024-03-05,65.359375000,13.617382604
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-03 00:00:00,D,66.537500000,,2024-03-06,66.667708333,5.265026145
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-03 00:00:00,D,46.867231979,Steam,2024-03-07,64.917708333,22.462227395
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-04 00:00:00,D,66.246875000,,2024-03-08,65.796875000,31.097068854
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-04 00:00:00,D,47.318628125,Steam,2024-03-09,66.876041666,16.404442395
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-05 00:00:00,D,64.752083333,,2024-03-10,66.692708333,23.043113958
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-05 00:00:00,D,58.721860416,Steam,2024-03-11,64.355208333,48.901126458
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-06 00:00:00,D,66.838541666,,2024-03-12,67.026041666,24.110788125
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-06 00:00:00,D,67.430360104,Steam,2024-03-13,64.290625000,10.701340312
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-07 00:00:00,D,65.895833333,,2024-03-14,64.560416666,26.090580625
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-07 00:00:00,D,67.133023229,Steam,2024-03-15,68.307291666,13.683026041
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-08 00:00:00,D,68.037500000,,2024-03-16,67.429166666,12.330595729
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-08 00:00:00,D,40.258544270,Steam,2024-03-17,66.801041666,9.074008020
CascadillaHall.Elec.PowerScout3/kWsystem,2024-02-09 00:00:00,D,66.588541666,,2024-03-18,66.267708333,30.966926666
CascadillaHall.STM.M22-V/AverageMassFlow,2024-02-09 00:00:00,D,13.664562604,Steam,2024-03-19,63.641666666,44.491885104
